,SO,dumb,SB,CS
975,6,1.0,1,0
976,3,1.0,1,0
977,2,1.0,0,0
978,2,1.0,3,0
979,5,1.0,0,0
980,7,1.0,1,0
981,1,1.0,0,0
982,4,1.0,0,0
983,8,1.0,0,1
984,7,1.0,2,1
985,5,1.0,0,0
986,2,1.0,1,0
987,6,1.0,0,1
988,3,1.0,2,0
989,3,1.0,1,0
990,6,1.0,1,2
991,5,1.0,0,2
992,1,1.0,0,0
993,7,1.0,1,0
994,2,1.0,1,1
995,4,1.0,1,0
996,6,1.0,0,0
997,6,1.0,1,1
998,4,1.0,0,1
999,4,1.0,2,0
1000,7,1.0,0,0
1001,2,1.0,0,2
1002,8,1.0,0,0
1003,11,1.0,0,0
1004,10,1.0,1,0
1005,8,1.0,0,2
1006,5,1.0,1,1
1007,4,1.0,1,0
1008,8,1.0,2,1
1009,4,1.0,0,0
1010,6,1.0,1,1
1011,6,1.0,0,0
1012,2,1.0,0,0
1013,3,1.0,1,0
1014,2,1.0,0,0
1015,4,1.0,0,0
1016,6,1.0,0,1
1017,14,1.0,0,1
1018,5,1.0,0,0
1019,5,1.0,1,0
1020,6,1.0,1,1
1021,13,1.0,0,0
1022,6,1.0,0,0
1023,1,1.0,0,0
1024,5,1.0,0,0
1025,4,1.0,2,0
1026,2,1.0,0,0
1027,8,1.0,2,0
1028,1,1.0,0,0
1029,6,1.0,0,1
1030,8,1.0,1,0
1031,3,1.0,3,0
1032,4,1.0,0,0
1033,2,1.0,0,0
1034,4,1.0,0,1
1035,5,1.0,3,0
1036,3,1.0,0,0
1037,5,1.0,0,0
1038,3,1.0,0,1
1039,4,1.0,0,1
1040,3,1.0,0,0
1041,2,1.0,2,0
1042,3,1.0,0,1
1043,9,1.0,0,0
1044,3,1.0,0,1
1045,8,1.0,0,1
1046,9,1.0,0,0
1047,1,1.0,0,1
1048,6,1.0,0,0
1049,2,1.0,1,1
1050,2,1.0,0,0
1051,12,1.0,0,0
1052,3,1.0,0,0
1053,3,1.0,0,0
1054,3,1.0,0,0
1055,7,1.0,1,0
1056,8,1.0,0,0
1057,1,1.0,0,0
1058,5,1.0,1,1
1059,6,1.0,0,0
1060,1,1.0,0,0
1061,15,1.0,1,2
1062,12,1.0,0,0
1063,8,1.0,0,1
1064,3,1.0,0,0
1065,7,1.0,0,1
1066,2,1.0,0,0
1067,10,1.0,1,0
1068,2,1.0,0,1
1069,3,1.0,1,0
1070,4,1.0,0,0
1071,10,1.0,2,1
1072,4,1.0,1,1
1073,2,1.0,1,1
1074,8,1.0,0,0
1075,7,1.0,3,2
1076,4,1.0,0,0
1077,4,1.0,1,0
1078,5,1.0,0,0
1079,9,1.0,2,0
1080,5,1.0,0,1
1081,12,1.0,1,1
1082,10,1.0,0,0
1083,4,1.0,0,0
1084,7,1.0,3,2
1085,5,1.0,0,0
1086,3,1.0,0,0
1087,4,1.0,0,0
1088,5,1.0,0,0
1089,10,1.0,1,0
1090,3,1.0,0,0
1091,7,1.0,1,0
1092,7,1.0,0,1
1093,4,1.0,0,0
1094,9,1.0,1,0
1095,7,1.0,0,0
1096,6,1.0,1,0
1097,3,1.0,1,0
1098,4,1.0,1,0
1099,5,1.0,2,0
1100,1,1.0,2,1
1101,11,1.0,2,1
1102,5,1.0,2,1
1103,3,1.0,0,0
1104,5,1.0,0,1
1105,5,1.0,1,0
1106,14,1.0,0,0
1107,6,1.0,1,1
1108,4,1.0,0,0
1109,5,1.0,1,0
1110,10,1.0,2,0
1111,3,1.0,0,0
1112,7,1.0,3,0
1113,2,1.0,1,0
1114,1,1.0,0,1
1115,6,1.0,1,0
1116,1,1.0,0,1
1117,2,1.0,1,0
1118,8,1.0,1,0
1119,4,1.0,1,0
1120,7,1.0,1,0
1121,10,1.0,0,0
1122,4,1.0,0,0
1123,6,1.0,0,1
1124,3,1.0,2,0
1125,2,1.0,0,0
1126,5,1.0,2,0
1127,6,1.0,2,0
1128,9,1.0,1,0
